26833,,17280,
27029,,,40000
27114,,17415,
27254,,,40000
27397,,17550,
27538,,,40000
27681,,17685,
27768,,,40000
27972,,17685,
28053,,,40000
28256,,18224,
28343,,,40000
28548,,17956,
28629,,,40000
28832,,17420,
28916,,,40000
29117,,16758,
29200,,,40000
29346,,16348,
29487,,,40000
29597,1079296,,
29651,,1079296,
29718,,,40000
29936,,1079296,
30003,,,40000
30149,,17152,
30284,,,40000
30430,,17286,
30514,,,40000
30709,,17286,
30792,,,40000
30936,,17018,
31073,,,40000
31216,,17286,
31299,,,40000
31498,,17420,
31579,,,40000
31776,,16625,
31803,,,40000
32001,,16616,
32081,,,40000
32277,,16750,
32357,,,40000
32499,,16492,
32636,,,40000
32775,,16368,
32915,,,40000
33059,,16359,
33201,,,40000
33341,,16093,
33423,,,40000
33618,,15960,
33699,,,40000
33896,,16359,
33977,,,40000
34118,,16080,
34255,,,40000
34400,,17024,
34536,,,40000
34622,,16359,
34818,,,40000
34899,,16625,
35098,,,40000
35182,,16891,
35302,1079296,,
35374,,,40000
35476,,1079296,
35594,,,40000
35735,,17292,
35875,,,40000
36015,,17028,
36154,,,40000
36296,,17160,
36435,,,40000
36577,,17160,
36661,,,40000
36857,,16899,
36939,,,40000
37135,,16510,
37222,,,40000
37423,,16254,
37450,,,40000
37696,,16002,
37722,,,40000
37984,,16002,
38012,,,40000
38212,,15621,
38295,,,40000
38496,,15616,
38581,,,40000
38782,,15488,
38864,,,40000
39066,,15470,
39153,,,40000
39356,,15458,
39441,,,40000
39642,,15312,
39728,,,40000
39929,,15162,
40013,,,40000
40210,,15029,
40292,,,40000
40493,,13875,
40575,,,40000
40770,,12971,
40799,,,40000
41006,1079296,,
41079,,1079296,
41086,,,40000
41358,,1079296,
41367,,,40000
41596,,,40000
41623,,11124,
41846,,10608,
41872,,,40000
42129,,10400,
42156,,,40000
42411,,10791,
42437,,,40000
42689,,10878,
42715,,,40000
42916,,11058,
42944,,,40000
43206,,11349,
43233,,,40000
43489,,11880,
43516,,,40000
43746,,,40000
43777,,12276,
44035,,,40000
44065,,12600,
44294,,12954,
44322,,,40000
44549,,,40000
44577,,12870,
44834,,,40000
44860,,12707,
45119,,,40000
45153,,12672,
45415,,,40000
45445,,12540,
45654,,,40000
45746,,12730,
45950,,,40000
46037,,12730,
46184,,,40000
46330,,12730,
46474,,,40000
46621,,12998,
46709,,,40000
46786,1079296,,
46879,,1079296,
47003,,,40000
47156,,13905,
47307,,,40000
47447,,13635,
47591,,,40000
47683,,13905,
47827,,,40000
47976,,14445,
48121,,,40000
48211,,14204,
48414,,,40000
48503,,14472,
48708,,,40000
48795,,14985,
48998,,,40000
49086,,15255,
49230,,,40000
