63104,,368,
63241,,,5112
63381,,504,
63519,,,5068
63604,,316,
63797,,,4452
63881,,504,
64075,,,4540
64160,,68,
64356,,,4528
64442,,196,
64640,,,3928
64722,,272,
64860,,,7192
65000,,252,
65136,,,4636
65274,,280,
65412,,,7060
65550,,192,
65687,,,9128
65830,,232,
65912,,,6948
66114,,408,
66198,,,6604
66397,,312,
66473,,,8256
66666,,196,
66749,,,6424
66897,,296,
66980,,,8028
66994,41696,,
67202,,13140,
67266,,,7852
67467,,176,
67551,,,6128
67756,,188,
67841,,,8716
68041,,72,
68125,,,8604
68328,,108,
68411,,,7336
68615,,112,
68700,,,8172
68896,,84,
68982,,,6912
69187,,132,
69270,,,8192
69415,,264,
69552,,,8268
69700,,188,
69842,,,6476
69989,,172,
70075,,,6836
70276,,240,
70361,,,6832
70565,,116,
70653,,,6280
70859,,176,
70944,,,7500
71149,,228,
71235,,,6964
71441,,124,
71468,,,6348
71728,,176,
71754,,,7680
72018,,120,
72045,,,7708
72306,,120,
72335,,,7656
72538,,184,
72624,,,6432
72831,,128,
72913,,,8416
72933,30320,,
73133,,6220,
73207,,,6440
73351,,12,
73496,,,6956
73643,,20,
73785,,,8016
73928,,8,
74068,,,6008
74214,,8,
74358,,,7748
74504,,24,
74651,,,6308
74740,,44,
74947,,,6672
75037,,4,
75238,,,5636
75269,,0,
75521,,,5540
75550,,0,
75802,,,5796
75837,,0,
76070,,0,
76098,,,5176
76368,,0,
76396,,,5560
76659,,0,
76687,,,4548
76913,,,4840
76939,,0,
77203,,,4300
77236,,0,
77498,,,4928
77527,,0,
77786,,,4240
77819,,0,
78076,,,4492
78105,,0,
78366,,,3524
78395,,0,
78655,,,3260
78685,,0,
78873,53368,,
78937,,8192,
78942,,,3604
79226,,0,
79234,,,2712
79465,,,2532
79494,,0,
79757,,,2124
79793,,0,
79994,,,2476
80083,,0,
80287,,,1832
80373,,0,
80568,,,2216
80658,,0,
80864,,,1636
80952,,0,
81152,,,1604
81245,,0,
81456,,,1156
81543,,0,
81743,,,1048
81830,,0,
82035,,,920
82126,,0,
82331,,,792
82425,,0,
82575,,,672
82728,,0,
82875,,,568
82964,,0,
83169,,,444
83261,,0,
83471,,,380
83562,,0,
83757,,,276
83844,,0,
84042,,,232
84128,,632,
84271,,,1860
84363,,672,
84561,,,2024
84652,,492,
84798,26968,,
84803,,,1676
84908,,4292,
85085,,,2720
85176,,76,
85322,,,2324
85467,,136,
85613,,,2696
85703,,148,
85904,,,2104
85995,,116,
86195,,,2888
86287,,40,
86430,,,2300
86583,,84,
86728,,,2344
86876,,100,
86962,,,2268
87164,,164,
87254,,,900
87403,,128,
87547,,,1212
87695,,172,
87842,,,3416
87990,,308,
88135,,,2144
88225,,164,
88428,,,2404
88515,,48,
88718,,,3236
88809,,152,
89014,,,3560
89048,,304,
89252,,,3900
89341,,304,
89547,,,3764
89636,,316,
89786,,,3720
89930,,228,
90075,,,4240
90224,,244,
90371,,,4368
90519,,380,
90610,,,3460
90791,8016,,
90837,,4976,
